"identifiant";"Opérateur";"Millésime des données";"Énergie concernée";"Code géographique du territoire - Code de la zone";"Code géographique du territoire - Libellé de la zone";"Puissance totale installée sur le réseau (en MW)";"Puissance installée sur le réseau de la filière gaz naturel (en MWh)";"Puissance installée sur le réseau de la filière charbon (en MWh)";"Puissance installée sur le réseau de la filière fioul domestique (en MWh)";"Puissance installée sur le réseau de la filière fioul lourd (en MWh)";"Puissance installée sur le réseau de la filière gpl (en MWh)";"Puissance installée sur le réseau de la filière bois-énergie et résidus agricoles (en MWh)";"Puissance installée sur le réseau de la filière déchets urbains incinérés en interne (en MWh)";"Puissance installée sur le réseau de la filière chaleur issue d'unités de valorisation énergétique externes (en MWh)";"Puissance installée sur le réseau de la filière biogaz (en MWh)";"Puissance installée sur le réseau de la filière geothermie (en MWh)";"Puissance installée sur le réseau de la filière Pompes à chaleur (en MWh)";"Puissance installée sur le réseau de la filière solaire thermique (en MWh)";"Puissance installée sur le réseau de la filière Autres énergies renouvelables (en MWh)";"Puissance installée sur le réseau de la filière chaleur issue de procédés industriels (en MWh)";"Puissance installée sur le réseau de la filière autre chaleur recuperee (en MWh)";"Puissance installée sur le réseau de la filière chaudieres electriques (en MWh)";"Puissance installée sur le réseau de la filière autres (en MWh)";"Production totale thermique du réseau (en MW)";"Production thermique sur le réseau de la filière gaz naturel (en MWh)";"Production thermique sur le réseau de la filière charbon (en MWh)";"Production thermique sur le réseau de la filière fioul domestique (en MWh)";"Production thermique sur le réseau de la filière fioul lourd (en MWh)";"Production thermique sur le réseau de la filière gpl (en MWh)";"Production thermique sur le réseau de la filière bois-énergie et résidus agricoles (en MWh)";"Production thermique sur le réseau de la filière déchets urbains incinérés en interne (en MWh)";"Production thermique sur le réseau de la filière chaleur issue d'unités de valorisation énergétique externes (en MWh)";"Production thermique sur le réseau de la filière biogaz (en MWh)";"Production thermique sur le réseau de la filière geothermie (en MWh)";"Production thermique sur le réseau de la filière Pompes à chaleur (en MWh)";"Production thermique sur le réseau de la filière solaire thermique (en MWh)";"Production thermique sur le réseau de la filière Autres énergies renouvelables (en MWh)";"Production thermique sur le réseau de la filière chaleur issue de procédés industriels (en MWh)";"Production thermique sur le réseau de la filière autre chaleur recuperee (en MWh)";"Production thermique sur le réseau de la filière chaudieres electriques (en MWh)";"Production thermique sur le réseau de la filière autres (en MWh)";"Niveau de rejet de CO2 des réseaux (en kg/kWh)";"Pourcentage de chaleur produite par cogénération (en pourcent)";"Pourcentage de chaleur produite par cogénération dans la filière gaz naturel (en pourcent)";"Pourcentage de chaleur produite par cogénération dans la filière charbon (en pourcent)";"Pourcentage de chaleur produite par cogénération dans la filière fioul domestique (en pourcent)";"Pourcentage de chaleur produite par cogénération dans la filière fioul lourd (en pourcent)";"Pourcentage de chaleur produite par cogénération dans la filière gpl (en pourcent)";"Pourcentage de chaleur produite par cogénération dans la filière bois-énergie et résidus agricoles (en pourcent)";"Pourcentage de chaleur produite par cogénération dans la filière déchets urbains incinérés en interne (en pourcent)";"Pourcentage de chaleur produite par cogénération dans la filière biogaz (en pourcent)";"Pourcentage de chaleur produite par cogénération dans la filière autres (en pourcent)";"Nombre de points de livraison";"Consommation totale (en MWh)";"Consommation dans le secteur résidentiel (en MWh)";"Consommation dans le secteur tertiaire (en MWh)";"Consommation dans le secteur industriel (en MWh)";"Consommation dans le secteur agricole (en MWh)";"Consommation non affectée dans l'un des quatres secteur (en MWh)"
"3315C";"Réseau de Terres Neuves";"2018";"C";"33039";"Bègles";4.6;3.4;;;;;1.2;;;;;;;;;;;;5470.24;1508.22;;;;;3962.02;;;;;;;;;;;;0.07678565;;;;;;;;;;;23;4474;4295;179;;;
"3316C";"Réseau de l'éco-quartier Ginko";"2018";"C";"33063";"Bordeaux";10;4;;;;;3;;;3;;;;;;;;;15646;3436;;;;;11319;;;891;;;;;;;;;0.055320157;2.326;1.594;;;;;;;;;29;14179;14179;;;;
"3317C";"Saige-Formanoir";"2018";"C";"33318";"Pessac";9;7;;;;;;;;;;2;;;;;;;13072;2945;;;;;;;;;;10127;;;;;;;0.090043041;;;;;;;;;;;13;12128;12128;;;;
"3318C";"Bassins à Flot";"2018";"C";"33063";"Bordeaux";32.6;18;;;;;2.5;;;;;5.5;;;6.6;;;;32555;7622;;;;;11879;;;;;8104;;;4950;;;;0.084567975;;;;;;;;;;;53;25068;;;;;25068
"3319C";"Bordeaux Begles Energies";"2018";"C";"33063";"Bordeaux";23;9;;;;;;;14;;;;;;;;;;4711.75;191.97;;;;;;;4519.78;;;;;;;;;;0.014010413;;;;;;;;;;;8;3121;;;;;3121
"3320C";"Réseau de la Clinique Lesparre";"2018";"C";"33240";"Lesparre-Médoc";2.06;;;1.5;;;0.56;;;;;;;;;;;;1944;;;805;;;1139;;;;;;;;;;;;0.147763371;;;;;;;;;;;3;"secret";"secret";926;;;
"3401C";"RMCF";"2018";"C";"34172";"Montpellier";70;43;;1;;;21.5;;;;;;;;4.5;;;;94579.7;40010.02;;863.3;;;41007.38;;;;;;;;12699;;;;0.103427232;21.199;5.112;;;;;;;;;213;80605;;;;;80605
"3404C";"Réseau de Fraïsse - Agout";"2018";"C";"34107";"Fraisse-sur-Agout";4.2;;;;;;4.2;;;;;;;;;;;;516;;;;;;516;;;;;;;;;;;;;;;;;;;;;;;39;262;;;;;262
"3405C";"Réseau des universités";"2018";"C";"34172";"Montpellier";20;10;;;;;10;;;;;;;;;;;;30279.9;6141.42;;;;;24138.48;;;;;;;;;;;;0.051156665;;;;;;;;;;;4;27345;;27345;;;
"3409C";"ZAC des Constellations";"2018";"C";"34123";"Juvignac";5.5;4;;;;;1.2;;;;;;0.3;;;;;;6299.11;1863.81;;;;;4261.3;;;;;;;;;;;174;0.071004265;;;;;;;;;;;21;5979;5979;;;;
"3410C";"Eco-Quartier Le Mas de Rochet";"2018";"C";"34057";"Castelnau-le-Lez";1.7;1.3;;;;;0.4;;;;;;;;;;;;2287.54;683.64;;;;;1603.9;;;;;;;;;;;;0.077356185;;;;;;;;;;;7;2013;;;;;2013
"3411C";"MUSE";"2018";"C";"34172";"Montpellier";7.49;;;;;;;;;;;;;7.49;;;;;2465;;;;;;;;;;;;;2465;;;;;;;;;;;;;;;;5;2465;;1479;986;;
"3504C";"Sarah Bernhardt";"2018";"C";"35238";"Rennes";4.2;4.2;;;;;;;;;;;;;;;;;6606;6606;;;;;;;;;;;;;;;;;0.234807174;65.97;65.97;;;;;;;;;7;"secret";"secret";264;;;
"3505C";"Campus Scientifique de Beaulieu";"2018";"C";"35238";"Rennes";52.5;52.5;;;;;;;;;;;;;;;;;27664;27664;;;;;;;;;;;;;;;;;0.188028109;63.342;63.342;;;;;;;;;64;"secret";"secret";22684;;;
"3506C";"Quartier Sud";"2018";"C";"35238";"Rennes";162;161;;;;;;;;;;;;;1;;;;215049;95543;;;;;;;;;;;;;119506;;;;0.095865079;29.128;65.562;;;;;;;;;224;190349;152279;38070;;;
"3507C";"Réseau de la centrale Thermique de Villejean";"2018";"C";"35238";"Rennes";82.3;81.3;;;;;;;1;;;;;;;;;;141562;22202;;;;;;;119360;;;;;;;;;;0.04085615;;;;;;;;;;;185;124696;93522;31174;;;
"3508C";"Réseau de chaleur Bretagne romantique  à Combourg";"2018";"C";"35085";"Combourg";4.74;3.3;;;;;1.44;;;;;;;;;;;;4348;1178;;;;;3170;;;;;;;;;;;;0.07772349;;;;;;;;;;;10;3461;;3461;;;
"3510C";"Réseau EAU CHAUDE";"2018";"C";"35360";"Vitré";2.5;;;;;;;;2.5;;;;;;;;;;884.2;;;;;;;;884.2;;;;;;;;;;;;;;;;;;;;;5;884;;;;;884
"3511C";"SILVA  -- Réseau de JANZE";"2018";"C";"35136";"Janzé";3.1;2;;;;;1.1;;;;;;;;;;;;4572.62;487.62;;;;;4085;;;;;;;;;;;;0.027920814;;;;;;;;;;;12;3978;;;;;3978
"3512C";"Réseau de Vezin le Coquet";"2018";"C";"35353";"Vezin-le-Coquet";2.9;1.8;;;;;1.1;;;;;;;;;;;;3963.79;533.79;;;;;3430;;;;;;;;;;;;0.036057384;;;;;;;;;;;19;3372;2495;;;;877
"3513C";"Réseau de Rennes Est (ZAC Baud -Chardonnet)";"2018";"C";"35238";"Rennes";17.2;10.5;;;;;6.7;;;;;;;;;;;;14759.702;700.002;;;;;14059.7;;;;;;;;;;;;0.011340562;;;;;;;;;;;5;"secret";"secret";;;;12555
"3514C";"Reseau Chartres de Bretagne (ZAC portes de Seiche)";"2018";"C";"35066";"Chartres-de-Bretagne";1.77;1.02;;;;;0.75;;;;;;;;;;;;802.329;723.897;;;;;78.432;;;;;;;;;;;;0.256514701;;;;;;;;;;;7;"secret";"secret";;;;
"3601C";"Cité Saint Jean";"2018";"C";"36044";"Châteauroux";;;;;;;;;;;;;;;;;;;2410;;;;;;;;;;;2410;;;;;;;;;;;;;;;;;;12;;;;;;
"3602C";"Réseau de chaleur de la cité de Beaulieu";"2018";"C";"36044";"Châteauroux";9.877;2.417;;;;;7.46;;;;;;;;;;;;10360.85;2124.63;;;;;8236.22;;;;;;;;;;;;0.048997013;;;;;;;;;;;5;"secret";"secret";;;;346
"3603C";"Réseau de chaleur Argenton sur Creuse";"2018";"C";"36006";"Argenton-sur-Creuse";2.275;0.545;;;;;1.73;;;;;;;;;;;;2389.58;479.52;;;;;1910.06;;;;;;;;;;;;0.048010549;;;;;;;;;;;5;"secret";"secret";;;;108
"3701C";"Morier et Rabière";"2018";"C";"37122";"Joué-lès-Tours";76.01;47.01;;15;;;12;;;;;;;;;2;;;71033.4827;62474.4027;;;;;282.08;;;;;;;;;8277;;;0.273907197;46.094;52.49;;;;;;;;;103;"secret";"secret";;25202;;
"3702C";"Zup des Bords de Cher et Sanitas";"2018";"C";"37261";"Tours";62.7;44.7;;11;;;;;;;;;;;;7;;;138066;30280;;;;;83064;;;;;;;;;24722;;;0.083529436;5.036;22.962;;;;;;;;;172;"secret";"secret";34327;;;
"3704C";"Quartier Chateaubriand";"2018";"C";"37261";"Tours";28.7;28.7;;;;;;;;;;;;;;;;;26433.2027;26433.2027;;;;;;;;;;;;;;;;;0.181637116;52.85;52.85;;;;;;;;;12;"secret";"secret";2674;;;
"3705C";"Réseau de la ville de Saint Pierre des Corps";"2018";"C";"37233";"Saint-Pierre-des-Corps";23.95;14.4;;;;;4.35;;;;;;;;;5.2;;;29560;5994;;;;;20144;;;;;;;;;3422;;;0.077132094;;;;;;;;;;;38;26413;23772;2641;;;
"3707C";"Centre de Valorisation Energétique";"2018";"C";"37210";"Saint-Benoît-la-Forêt";3.74;;;;;;;3.74;;;;;;;;;;;17297;;;;;;;17297;;;;;;;;;;;;;;;;;;;;;;1;"secret";"secret";4300;;;
"3708C";"Réseau de chauffage urbain de la Riche - Quartier";"2018";"C";"37195";"La Riche";3.5;3.5;;;;;;;;;;;;;;;;;5738.3964;5738.3964;;;;;;;;;;;;;;;;;0.22045525;;;;;;;;;;;18;"secret";"secret";;1660;;
"3801C";"Réseau chaufferie bois Vanne";"2018";"C";"38281";"Noyarey";0.5;;;;;;0.5;;;;;;;;;;;;473;;;;;;473;;;;;;;;;;;;;;;;;;;;;;;4;150;;;;;150
"3802C";"Réseau Métropole de Grenoble";"2018";"C";"38185";"Grenoble";555;58;52;104;171;;83;57;;;;;;30;;;;;899478;106015;183335;22278;10689;;253730;323026;;;;;;405;;;;;0.128010765;25.312;;50.93;;;;52.93;;;;1133;754745;430205;324540;;;
"3803C";"Berjalia";"2018";"C";"38053";"Bourgoin-Jallieu";48;36;;;;;;;12;;;;;;;;;;58785;11967;;;;;;;46818;;;;;;;;;;0.054534955;;;;;;;;;;;85;47991;30234;11998;5759;;
"3804C";"Réseau de chaleur de Vinay";"2018";"C";"38559";"Vinay";4.2;;;2.5;;;1.7;;;;;;;;;;;;4499.6;;;925.6;;;3574;;;;;;;;;;;;0.342;;;;;;;;;;;56;"secret";"secret";115;16;;
"3805C";"Réseau de Saint Marcellin";"2018";"C";"38416";"Saint-Marcellin";4.6;1.6;;;;;3;;;;;;;;;;;;6560.6418;268.5636;;;;;6292.0782;;;;;;;;;;;;0.014033682;;;;;;;;;;;19;"secret";"secret";2267;;;
"3806C";"Réseau d'Allevard";"2018";"C";"38006";"Allevard";4.5;;;;;2;2.5;;;;;;;;;;;;9294;;;;;1265;8029;;;;;;;;;;;;0.042328959;;;;;;;;;;;20;7086;1417;5669;;;
"3807C";"Les Laiches";"2018";"C";"38548";"Villard-de-Lans";1.77;;;1.37;;;0.4;;;;;;;;;;;;1265.27;;;159.31;;;1105.96;;;;;;;;;;;;0.052023681;;;;;;;;;;;10;"secret";"secret";622;;;
"3808C";"Réseau de Lans-en-Vercors";"2018";"C";"38205";"Lans-en-Vercors";1.68;;;0.98;;;0.7;;;;;;;;;;;;1605.92;;;85.44;;;1520.48;;;;;;;;;;;;0.023081033;;;;;;;;;;;5;1123;;1123;;;
"3809C";"Réseau de Monestier-de-Clermont";"2018";"C";"38242";"Monestier-de-Clermont";1.13;;;0.63;;;0.5;;;;;;;;;;;;998.93;;;64.97;;;933.96;;;;;;;;;;;;0.023106682;;;;;;;;;;;10;853;;853;;;
"3810C";"Réseau de Mens";"2018";"C";"38226";"Mens";1.8;;;1.1;;;0.7;;;;;;;;;;;;2007.65;;;292.81;;;1714.84;;;;;;;;;;;;0.046950317;;;;;;;;;;;7;1892;;1892;;;
"3811C";"Réseau de Chaleur Bois Pontcharra RCBP";"2018";"C";"38314";"Pontcharra";1.51;0.96;;;;;0.55;;;;;;;;;;;;1235.61;546.75;;;;;688.86;;;;;;;;;;;;0.124413087;;;;;;;;;;;6;"secret";"secret";631;;;
"3813C";"Réseau de chaleur de Voreppe";"2018";"C";"38565";"Voreppe";7;4.5;;;;;2.5;;;;;;;;;;;;10056;1201;;;;;8855;;;;;;;;;;;;0.027759397;;;;;;;;;;;23;10056;2514;7542;;;
"3814C";"Réseau de Coublevie";"2018";"C";"38133";"Coublevie";2.6;1.5;;;;;1.1;;;;;;;;;;;;2414;342;;;;;2072;;;;;;;;;;;;0.031958845;;;;;;;;;;;10;2442;;2442;;;
"3817C";"Réseau de villars de lans";"2018";"C";"38548";"Villard-de-Lans";5.65;;;3.6;;;2.05;;;;;;;;;;;;9107.56;;;642.58;;;8464.98;;;;;;;;;;;;0.025297171;;;;;;;;;;;37;7706;;;;;7706
"3901C";"Réseau de Dole";"2018";"C";"39198";"Dole";42.9;20.6;;12;;;10.3;;;;;;;;;;;;51021;23249;;12;;;27760;;;;;;;;;;;;0.110546929;37.583;82.477;;;;;;;;;80;43568;19170;24398;;;
"3902C";"La Marjorie";"2018";"C";"39300";"Lons-le-Saunier";45;36;;;;;3;;6;;;;;;;;;;49826;19737;;;;;7295;;22794;;;;;;;;;;0.04339812;;;;;;;;;;;74;33407;28396;5011;;;
"3903C";"Réseau de Champvans";"2018";"C";"39101";"Champvans";0.55;;;0.15;;;0.4;;;;;;;;;;;;643.6965108;;;8.565465574;;;635.1310452;;;;;;;;;;;;0.030999964;;;;;;;;;;;2;"secret";"secret";;;;
"3904C";"Réseau de chaleur de Moirans en Montagne";"2018";"C";"39333";"Moirans-en-Montagne";3.9;;;2.3;;;1.6;;;;;;;;;;;;6948.33;;;930.05;;;6018.28;;;;;;;;;;;;0.055993253;;;;;;;;;;;21;5039;1310;3729;;;
"3905C";"Réseau CCPM Arinthod";"2018";"C";"39016";"Arinthod";3.187;;;;;;3.187;;;;;;;;;;;;2740.82;;;;;;2740.82;;;;;;;;;;;;;;;;;;;;;;;17;"secret";"secret";2075;;;
"3906C";"Réseau de la Ville de Morez";"2018";"C";"39368";"Hauts de Bienne";1.81;1.1;;;;;0.71;;;;;;;;;;;;22943.79;21372.52;;;;;1571.27;;;;;;;;;;;;0.048015551;;;;;;;;;;;4;"secret";"secret";472;;;
"3908C";"CHAUFFERIE BOIS LES ORCHIDEES";"2018";"C";"39032";"Avignon-lès-Saint-Claude";;;;;;;;;;;;;;;;;;;66;;;;;;66;;;;;;;;;;;;;;;;;;;;;;;9;"secret";"secret";;;;
"4003C";"Géothermie Mont-de-Marsan (GMM1)";"2018";"C";"40192";"Mont-de-Marsan";4.94;;;;;;;;;;;4.94;;;;;;;10633;;;;;;;;;;;10633;;;;;;;0.018231919;;;;;;;;;;;7;"secret";"secret";4982;;;
"4004C";"écoquartier Mousse";"2018";"C";"40088";"Dax";0.16;;;;;;;;;;;;;;0.16;;;;175.62;;;;;;;;;;;;;;175.62;;;;;;;;;;;;;;;11;"secret";"secret";;;;
"4005C";"Réseau de chaleur Peyrouat";"2018";"C";"40192";"Mont-de-Marsan";3.42;2.53;;;;;;;;;;0.89;;;;;;;2460;567;;;;;;;;;;1893;;;;;;;0.162878884;;;;;;;;;;;164;1366;970;396;;;
"4006C";"Géothermie Mont-de-Marsan (GMM2)";"2018";"C";"40192";"Mont-de-Marsan";0.9;;;;;;;;;;0.9;;;;;;;;3381;;;;;;;;;;3381;;;;;;;;;;;;;;;;;;;1;"secret";"secret";3381;;;
"4101C";"Quartier Bégon et Chevalier";"2018";"C";"41018";"Blois";39.5;27.7;;;;;4.8;7;;;;;;;;;;;52825.36;5672;;;;;15569;31584.36;;;;;;;;;;;0.024920599;;;;;;;;;;;88;50988;43850;7138;;;
"4102C";"Zac des Paradis";"2018";"C";"41295";"Vineuil";3.2;2.2;;;;;1;;;;;;;;;;;;3681.9982;1151.9982;;;;;2530;;;;;;;;;;;;0.071265505;;;;;;;;;;;110;"secret";"secret";368;;;
"4103C";"Réseau de Mondoubleau";"2018";"C";"41143";"Mondoubleau";2.9;1.9;;;;;1;;;;;;;;;;;;2689;853.06;;;;;1835.94;;;;;;;;;;;;;;;;;;;;;;;14;;;;;;
"4105C";"ALAIN BLANCHE";"2018";"C";"41285";"Villeny";0.15;;;;;;0.15;;;;;;;;;;;;305.3;;;;;;305.3;;;;;;;;;;;;;;;;;;;;;;;6;"secret";"secret";119;;;
"4106C";"ECO CHALEUR DE BLOIS";"2018";"C";"41018";"Blois";25.5;19;;;;;;;6.5;;;;;;;;;;29459;1152;;;;;;;28307;;;;;;;;;;0.008320779;;;;;;;;;;;41;28111;2811;25300;;;
"4202C";"Quartier la Cotonne";"2018";"C";"42218";"Saint-Étienne";13.4;13.4;;;;;;;;;;;;;;;;;14317;14317;;;;;;;;;;;;;;;;;0.220207634;36.16;36.16;;;;;;;;;21;13283;13283;;;;
"4203C";"Quartier de La Métare";"2018";"C";"42218";"Saint-Étienne";12.7;12.7;;;;;;;;;;;;;;;;;13496.12;13496.12;;;;;;;;;;;;;;;;;0.196615521;51.674;51.674;;;;;;;;;10;"secret";"secret";;;;
"4204C";"HLM Beaulieu Montchovet IV";"2018";"C";"42218";"Saint-Étienne";15;15;;;;;;;;;;;;;;;;;18321;18321;;;;;;;;;;;;;;;;;0.289053477;65.253;65.253;;;;;;;;;27;14726;6627;8099;;;
"4206C";"Réseau de Firminy";"2018";"C";"42095";"Firminy";38;28;;;;;6;;4;;;;;;;;;;67957;33151;;;;;15747;;19059;;;;;;;;;;0.120955928;40.449;82.918;;;;;;;;;139;53617;35923;17694;;;
"4207C";"Roanne énergies";"2018";"C";"42187";"Roanne";12.6;10.4;;;;;2.2;;;;;;;;;;;;9217;2034;;;;;7183;;;;;;;;;;;;0.060793196;;;;;;;;;;;19;7657;5360;2297;;;
"4208C";"Quartier Parc des Sports";"2018";"C";"42187";"Roanne";15.3;10.3;;5;;;;;;;;;;;;;;;4945;4937;;8;;;;;;;;;;;;;;;0.220273055;;;;;;;;;;;11;"secret";"secret";;;;
"4210C";"Quartier Montreynaud";"2018";"C";"42218";"Saint-Étienne";19.5;12.5;;;;;7;;;;;;;;;;;;29476;8030;;;;;21446;;;;;;;;;;;;0.064513467;;;;;;;;;;;44;27735;19692;8043;;;
"4211C";"Andrézieux-Bouthéon";"2018";"C";"42005";"Andrézieux-Bouthéon";22.4;13.7;;2.7;;;6;;;;;;;;;;;;22323;10653;;;;;11670;;;;;;;;;;;;0.119347817;;;;;;;;;;;22;20426;12256;7149;1021;;
"4212C";"Montrond-les-Bains";"2018";"C";"42149";"Montrond-les-Bains";5.1;3.6;;;;;1.5;;;;;;;;;;;;9197;1300;;;;;7897;;;;;;;;;;;;0.039650556;;;;;;;;;;;23;7459;1268;6191;;;
"4213C";"Réseau de Chaleur VIACONFORT";"2018";"C";"42218";"Saint-Étienne";23.9;12;;;;;8.5;;;;;;;;;3.4;;;29404;6645;;;;;19752;;;;;;;;;3007;;;0.079367722;;;;;;;;;;;44;26845;;;;;26845
"4214C";"Scevia quartier de fonsala";"2018";"C";"42207";"Saint-Chamond";18.95;13.8;;;;;5.15;;;;;;;;;;;;29309;11809;;;;;17500;;;;;;;;;;;;0.105045664;12.945;32.128;;;;;;;;;34;24987;17491;7496;;;
"4215C";"Usson en Forez";"2018";"C";"42318";"Usson-en-Forez";1.6;;;0.8;;;0.8;;;;;;;;;;;;1815.39;;;164.07;;;1651.32;;;;;;;;;;;;0.03757244;;;;;;;;;;;24;1512;;;;;1512
"4216C";"LOIRE FOREZ AGGLOMERATION Espace Déchelette";"2018";"C";"42204";"Saint-Bonnet-le-Château";0.2;;;;;0.15;0.05;;;;;;;;;;;;162.1234;;;;;55.3716;106.7518;;;;;;;;;;;;0.098015654;;;;;;;;;;;3;144;;144;;;
"4217C";"Jonzieux";"2018";"C";"42115";"Jonzieux";1.03;;;0.63;;;0.4;;;;;;;;;;;;665.37;;;96.94;;;568.43;;;;;;;;;;;;0.054931692;;;;;;;;;;;6;665;;;;;665
"4218C";"Roisey";"2018";"C";"42191";"Roisey";0.24;;;0.09;;;0.15;;;;;;;;;;;;214.26;;;;;;214.26;;;;;;;;;;;;;;;;;;;;;;;5;189;;;;;189
"4219C";"Planfoy 2 - ZAC des Lucioles";"2018";"C";"42172";"Planfoy";0.29;;;0.14;;;0.15;;;;;;;;;;;;507.66;;;88.13;;;419.53;;;;;;;;;;;;;;;;;;;;;;;17;445;365;80;;;
"4220C";"Le Bessat 1 - Ecole";"2018";"C";"42017";"Le Bessat";0.04;;;;;;0.04;;;;;;;;;;;;50.69;;;;;;50.69;;;;;;;;;;;;;;;;;;;;;;;1;"secret";"secret";51;;;
"4221C";"St Bonnet le Courreau";"2018";"C";"42205";"Saint-Bonnet-le-Courreau";0.14;;;;;;0.14;;;;;;;;;;;;224.8;;;;;;224.8;;;;;;;;;;;;;;;;;;;;;;;4;188;;;;;188
"4222C";"La Terrasse sur Dorlay";"2018";"C";"42308";"La Terrasse-sur-Dorlay";0.1;;;;;;0.1;;;;;;;;;;;;179.826;;;;;;179.826;;;;;;;;;;;;;;;;;;;;;;;2;176;;176;;;
"4223C";"St Régis du Coin";"2018";"C";"42280";"Saint-Régis-du-Coin";0.15;;;;;;0.15;;;;;;;;;;;;362.5;;;;;;362.5;;;;;;;;;;;;;;;;;;;;;;;6;222;;;;;222
"4224C";"St Didier sur Rochefort";"2018";"C";"42217";"Saint-Didier-sur-Rochefort";0.35;;;0.15;;;0.2;;;;;;;;;;;;368.13;;;17.33;;;350.8;;;;;;;;;;;;;;;;;;;;;;;4;344;;;;;344
"4225C";"Neulise";"2018";"C";"42156";"Neulise";1.08;;;;;0.63;0.45;;;;;;;;;;;;1716.7;;;;;46.5;1670.2;;;;;;;;;;;;0.010650592;;;;;;;;;;;12;1116;;;;;1116
"4226C";"Pélussin -  Quartier Notre Dame";"2018";"C";"42168";"Pélussin";0.95;;;;;0.55;0.4;;;;;;;;;;;;926.73;;;;;289.9;636.83;;;;;;;;;;;;0.131995543;;;;;;;;;;;64;599;;;;;599
"4227C";"St Christo en Jarez";"2018";"C";"42208";"Saint-Christo-en-Jarez";0.2;;;;;;0.2;;;;;;;;;;;;524.6392524;;;;;;524.6392524;;;;;;;;;;;;;;;;;;;;;;;9;544;;544;;;
"4228C";"St Martin la Sauveté";"2018";"C";"42260";"Saint-Martin-la-Sauveté";0.42;;;0.1;;0.17;0.15;;;;;;;;;;;;472.78;;;12.38;;88.6;371.8;;;;;;;;;;;;;;;;;;;;;;;8;326;;;;;326
"4229C";"St Symphorien de Lay";"2018";"C";"42289";"Saint-Symphorien-de-Lay";0.4;;;;;;0.4;;;;;;;;;;;;991.7;;;;;;991.7;;;;;;;;;;;;;;;;;;;;;;;7;765;;;;;765
"4230C";"Marlhes - Interconnexion";"2018";"C";"42139";"Marlhes";0.95;;;;;0.35;0.6;;;;;;;;;;;;1229.71;;;;;425.49;804.22;;;;;;;;;;;;0.100186803;;;;;;;;;;;6;968;;;;;968
"4231C";"St Haon le Châtel";"2018";"C";"42232";"Saint-Haon-le-Châtel";0.19;0.11;;;;;0.08;;;;;;;;;;;;162.99;63.8;;;;;99.19;;;;;;;;;;;;0.084119554;;;;;;;;;;;4;149;;149;;;
"4232C";"St Joseph";"2018";"C";"42242";"Saint-Joseph";0.34;;;0.23;;;0.11;;;;;;;;;;;;356.06;;;81.7;;;274.36;;;;;;;;;;;;0.082150888;;;;;;;;;;;7;286;;286;;;
"4233C";"St Cyr de Favières";"2018";"C";"42212";"Saint-Cyr-de-Favières";0.06;;;;;;0.06;;;;;;;;;;;;75.03;;;;;;75.03;;;;;;;;;;;;;;;;;;;;;;;3;52;;;;;52
"4234C";"Roanne - Quartier de Mâtel";"2018";"C";"42187";"Roanne";0.15;;;;;;0.15;;;;;;;;;;;;370.29;;;;;;370.29;;;;;;;;;;;;;;;;;;;;;;;2;342;;342;;;
"4235C";"Roche en Forez";"2018";"C";"42188";"Roche";0.34;;;;;0.23;0.11;;;;;;;;;;;;290.72;;;;;13;277.72;;;;;;;;;;;;0.018664997;;;;;;;;;;;6;"secret";"secret";27;;;
"4236C";"Pélussin 2 - Quartier des Croix";"2018";"C";"42168";"Pélussin";1.3;;;;;0.8;0.5;;;;;;;;;;;;484.23;;;;;342.04;142.19;;;;;;;;;;;;0.064841384;;;;;;;;;;;13;1254;;1254;;;
"4237C";"Roanne - Quartier Arsenal";"2018";"C";"42187";"Roanne";0.35;;;;;;0.35;;;;;;;;;;;;707.2;;;;;;707.2;;;;;;;;;;;;;;;;;;;;;;;4;578;;578;;;
"4238C";"St Maurice en Gourgois";"2018";"C";"42262";"Saint-Maurice-en-Gourgois";0.2;;;0.09;;;0.11;;;;;;;;;;;;255.91;;;9.82;;;246.09;;;;;;;;;;;;0.016149222;;;;;;;;;;;4;195;;195;;;
"4239C";"Pélussin - Siège CCPR";"2018";"C";"42168";"Pélussin";0.25;;;0.15;;;0.1;;;;;;;;;;;;173.32;;;12.82;;;160.5;;;;;;;;;;;;0.029583701;;;;;;;;;;;2;125;;125;;;
"4240C";"Colombier";"2018";"C";"42067";"Colombier";0.19;;;0.11;;;0.08;;;;;;;;;;;;146.18;;;16.22;;;129.96;;;;;;;;;;;;0.073846792;;;;;;;;;;;5;72;;;;;72
"4241C";"Farnay";"2018";"C";"42093";"Farnay";0.26;;;0.15;;;0.11;;;;;;;;;;;;286.57;;;49.27;;;237.3;;;;;;;;;;;;0.062189555;;;;;;;;;;;2;271;;271;;;
"4301C";"Réseau de Tence";"2018";"C";"43244";"Tence";4;;;2;;;2;;;;;;;;;;;;5556.99;;;143.29;;;5413.7;;;;;;;;;;;;0.01449;;;;;;;;;;;19;"secret";"secret";2400;;;
"4302C";"4302C Mairie de Langeac";"2018";"C";"43112";"Langeac";2.5;;;;;;2.5;;;;;;;;;;;;3.86;;;;;;3.86;;;;;;;;;;;;;;;;;;;;;;;11;4;;4;;;
"4303C";"Réseau du Puy en Velay VERT VEINE";"2018";"C";"43157";"Le Puy-en-Velay";14.7;9;;;;;5.7;;;;;;;;;;;;20231.29;493.29;;;;;19738;;;;;;;;;;;;0.006146299;;;;;;;;;;;49;18281;10055;8226;;;
